seqnum,date,Month6,who
490001,2025-06-15,-9999,7
490002,2025-06-15,7,7
490005,2025-06-15,51.89999771,7
490006,2025-06-15,0,7
490007,2025-06-15,0,7
490008,2025-06-15,0,7
490009,2025-06-15,0,7
490010,2025-06-15,0,7
490011,2025-06-15,5,7
490012,2025-06-15,4,7
490013,2025-06-15,0,7
490015,2025-06-15,0,7
490017,2025-06-15,13.69999981,7
490018,2025-06-15,0,7
490021,2025-06-15,0,7
490023,2025-06-15,0,7
490024,2025-06-15,0,7
490027,2025-06-15,0,7
490030,2025-06-15,43,7
490031,2025-06-15,0,7
490033,2025-06-15,45.5,7
490035,2025-06-15,12,7
490036,2025-06-15,1,7
490037,2025-06-15,0,7
490038,2025-06-15,0,7
490039,2025-06-15,0,7
490040,2025-06-15,0,7
490041,2025-06-15,105.9000015,7
490042,2025-06-15,8,7
490043,2025-06-15,18.5,7
490044,2025-06-15,9.600000381,7
490045,2025-06-15,51,7
490046,2025-06-15,18,7
490047,2025-06-15,0,7
490048,2025-06-15,0,7
490050,2025-06-15,9,7
490051,2025-06-15,-9999,7
490052,2025-06-15,40,7
490053,2025-06-15,2,7
490054,2025-06-15,0,7
490055,2025-06-15,40,7
490056,2025-06-15,87,7
490057,2025-06-15,0,7
490058,2025-06-15,20,7
490059,2025-06-15,0,7
490060,2025-06-15,0,7
490061,2025-06-15,0,7
490062,2025-06-15,5,7
490063,2025-06-15,28.5,7
490064,2025-06-15,26,7
490065,2025-06-15,23.5,7
490067,2025-06-15,44.5,7
490068,2025-06-15,0,7
490069,2025-06-15,0,7
490070,2025-06-15,3,7
490071,2025-06-15,0,7
490073,2025-06-15,0,7
490074,2025-06-15,-9999,7
490075,2025-06-15,33,7
490076,2025-06-15,0,7
490077,2025-06-15,21.20000076,7
490078,2025-06-15,0,7
490079,2025-06-15,25,7
490080,2025-06-15,57.90000153,7
490081,2025-06-15,0,7
490082,2025-06-15,0,7
490084,2025-06-15,0,7
490085,2025-06-15,0,7
490086,2025-06-15,0,7
490087,2025-06-15,17,7
490088,2025-06-15,0,7
490089,2025-06-15,0,7
490090,2025-06-15,0,7
490091,2025-06-15,0,7
490092,2025-06-15,0,7
490093,2025-06-15,0,7
490094,2025-06-15,0,7
490095,2025-06-15,0,7
490096,2025-06-15,0,7
490098,2025-06-15,0,7
490099,2025-06-15,0,7
490100,2025-06-15,7.199999809,7
490101,2025-06-15,0,7
490102,2025-06-15,0,7
490103,2025-06-15,0,7
490104,2025-06-15,0,7
490105,2025-06-15,0,7
490106,2025-06-15,0,7
490107,2025-06-15,82,7
490108,2025-06-15,0,7
490109,2025-06-15,0,7
490110,2025-06-15,1.200000048,7
490111,2025-06-15,0,7
490112,2025-06-15,6.5,7
490113,2025-06-15,2,7
490114,2025-06-15,0,7
490115,2025-06-15,0,7
490116,2025-06-15,7,7
490117,2025-06-15,57,7
490118,2025-06-15,0,7
